rank,entry,exit_pack,asset,mean_net_return_pct,median_net_return_pct,mean_calmar,mean_sharpe,max_drawdown_pct,mean_profit_factor,mean_net_expectancy_r,mean_gross_expectancy_r,mean_gross_return_pct,total_trades,mean_win_rate,positive_windows,n_windows,avg_cost_per_trade,mean_cost_drag_pct,mean_turnover,mean_time_in_market,worst_window_return_pct,screen_gate,promotion_gate
1,B_rsi_reclaim,T2_mean_revert,BTC/USD,-0.2830,0.0000,-0.5913,0.0000,1.4152,0.0000,-0.2830,-0.2000,-0.2000,1,0.0000,0,5,8.3033,8.30,0.05,0.0015,-1.4152,False,False
2,B_rsi_reclaim,T3_balanced,BTC/USD,-0.2692,0.0000,-0.5913,0.0000,1.3460,0.0000,-0.2692,-0.2000,-0.2000,1,0.0000,0,5,6.9194,6.92,0.05,0.0015,-1.3460,False,False
3,B_rsi_reclaim,T1_trend,BTC/USD,-0.1217,0.0000,-0.5913,0.0000,0.6083,0.0000,-0.1217,-0.0698,-0.0698,1,0.0000,0,5,5.1895,14.88,0.05,0.0015,-0.6083,False,False
4,E_baseline,T1_trend,BTC/USD,-10.8105,-15.7494,-1.3316,-2.4122,20.9755,0.6762,-0.2370,0.2217,6.5724,190,0.2995,1,5,45.8744,1108.25,9.23,0.1869,-20.9755,False,False
5,E_baseline,T2_mean_revert,BTC/USD,-16.8393,-22.8801,-1.8344,-5.5917,25.9050,0.4723,-0.3656,0.1594,4.5996,206,0.4152,1,5,52.4954,17693.55,10.01,0.0892,-24.9488,False,False
6,E_baseline,T3_balanced,BTC/USD,-12.5735,-16.0070,-1.9903,-3.3398,23.8970,0.5939,-0.2921,0.2221,7.2518,194,0.4379,0,5,51.4142,450.01,9.43,0.1596,-23.8970,False,False
7,D_bb_squeeze,T1_trend,BTC/USD,-15.4032,-16.1936,-2.1346,-3.2682,27.0842,0.5805,-0.2685,0.1878,10.2191,282,0.2835,0,5,45.6266,408.87,13.71,0.2708,-24.9521,False,False
8,C_ema_pullback,T1_trend,BTC/USD,-29.6440,-37.0309,-2.2832,-4.9966,44.4366,0.5396,-0.2727,0.1249,11.9876,525,0.2782,0,5,39.7547,788.54,25.51,0.5395,-43.6840,False,False
9,D_bb_squeeze,T3_balanced,BTC/USD,-23.4111,-26.9345,-2.5151,-5.7018,37.8187,0.4569,-0.3766,0.1048,5.6986,304,0.3605,0,5,48.1413,1412.80,14.77,0.2151,-35.4874,False,False
10,C_ema_pullback,T3_balanced,BTC/USD,-40.1120,-48.6660,-2.5592,-7.8733,56.0005,0.4437,-0.3519,0.0633,6.5884,564,0.3643,0,5,41.5180,1091.38,27.41,0.4529,-55.7300,False,False
11,A_donchian,T1_trend,BTC/USD,-42.4860,-44.0035,-2.7391,-7.5931,56.5832,0.4127,-0.3374,0.0132,0.8668,620,0.2525,0,5,35.0651,634.60,30.13,0.5954,-55.6386,False,False
12,A_donchian,T3_balanced,BTC/USD,-58.4068,-60.2041,-2.8378,-10.3200,69.5361,0.3864,-0.3473,-0.0034,-1.0266,838,0.3380,0,5,34.3931,737.96,40.73,0.6325,-69.5361,False,False
13,D_bb_squeeze,T2_mean_revert,BTC/USD,-30.1747,-31.2829,-2.8542,-8.4358,39.7413,0.2880,-0.4160,0.0681,4.6127,361,0.3575,0,5,48.4164,1955.27,17.54,0.1394,-38.9005,False,False
14,C_ema_pullback,T2_mean_revert,BTC/USD,-54.8407,-58.9390,-2.8927,-12.6023,62.0681,0.2694,-0.3774,0.0128,2.0828,729,0.3443,0,5,39.0207,1052.18,35.43,0.3399,-62.0681,False,False
15,A_donchian,T2_mean_revert,BTC/USD,-71.4514,-72.8528,-2.9491,-14.7058,75.4961,0.2652,-0.3255,-0.0123,-2.8599,1097,0.3434,0,5,31.3162,1717.09,53.31,0.4468,-75.4961,False,False
16,A_donchian,T1_trend,ETH/USD,-20.8099,-22.4950,-2.2641,-2.6201,32.3976,0.7067,-0.1751,0.1492,17.6145,594,0.3053,0,5,32.4362,287.98,29.07,0.5916,-25.5216,False,False
17,A_donchian,T2_mean_revert,ETH/USD,-59.3234,-57.5922,-2.9325,-8.9825,69.8132,0.4656,-0.2821,0.0376,7.8971,1052,0.4045,0,5,31.9764,1365.23,51.49,0.4706,-68.8128,False,False
18,A_donchian,T3_balanced,ETH/USD,-43.1978,-43.7742,-2.7757,-5.5941,57.2851,0.5985,-0.2630,0.0661,10.3932,816,0.3664,0,5,32.9100,641.47,39.94,0.6286,-55.1670,False,False
19,B_rsi_reclaim,T1_trend,ETH/USD,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0,0.0000,0,5,0.0000,0.00,0.00,0.0000,0.0000,False,False
20,B_rsi_reclaim,T2_mean_revert,ETH/USD,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0,0.0000,0,5,0.0000,0.00,0.00,0.0000,0.0000,False,False
21,B_rsi_reclaim,T3_balanced,ETH/USD,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0,0.0000,0,5,0.0000,0.00,0.00,0.0000,0.0000,False,False
22,C_ema_pullback,T1_trend,ETH/USD,-25.6541,-23.7726,-2.1761,-4.1188,48.4408,0.6136,-0.2318,0.0990,10.0085,542,0.2885,0,5,33.0794,396.05,26.53,0.4935,-48.2870,False,False
23,C_ema_pullback,T2_mean_revert,ETH/USD,-53.7567,-51.1435,-2.9516,-9.9451,65.9570,0.3646,-0.3787,-0.0146,-2.1738,709,0.3687,0,5,36.4105,950.52,34.70,0.3046,-65.9570,False,False
24,C_ema_pullback,T3_balanced,ETH/USD,-39.3328,-36.3294,-2.7089,-6.3736,59.0158,0.5161,-0.3432,0.0281,3.1662,572,0.3550,0,5,37.1259,414.11,28.00,0.3961,-58.4213,False,False
25,D_bb_squeeze,T1_trend,ETH/USD,-14.8046,-11.1641,-2.2172,-2.6577,31.1287,0.6435,-0.2324,0.1272,7.0995,307,0.2775,0,5,35.9664,239.52,15.03,0.2939,-28.4477,False,False
26,D_bb_squeeze,T2_mean_revert,ETH/USD,-30.1960,-31.5633,-2.8508,-6.6350,44.6430,0.4163,-0.3970,0.0341,1.6837,373,0.3850,0,5,43.1094,1188.07,18.26,0.1498,-41.9350,False,False
27,D_bb_squeeze,T3_balanced,ETH/USD,-23.6392,-26.0345,-2.6938,-4.5658,35.6809,0.5319,-0.3668,0.0412,1.7332,313,0.3530,0,5,40.7994,489.49,15.32,0.2312,-34.5675,False,False
28,E_baseline,T1_trend,ETH/USD,-9.6421,-4.1363,-1.5193,-2.2155,23.3923,0.6841,-0.2186,0.1421,5.5022,211,0.2730,0,5,36.0706,267.43,10.33,0.2054,-22.0931,False,False
29,E_baseline,T2_mean_revert,ETH/USD,-20.7711,-23.4021,-2.6037,-5.4679,29.0937,0.4045,-0.4544,0.0072,0.2099,228,0.3749,0,5,46.1623,686.36,11.16,0.1070,-28.2911,False,False
