rank,entry,exit_pack,asset,mean_net_return_pct,median_net_return_pct,mean_calmar,mean_sharpe,max_drawdown_pct,mean_profit_factor,mean_net_expectancy_r,mean_gross_expectancy_r,mean_gross_return_pct,total_trades,mean_win_rate,positive_windows,n_windows,avg_cost_per_trade,mean_cost_drag_pct,mean_turnover,mean_time_in_market,worst_window_return_pct,screen_gate,promotion_gate
1,A_donchian,T1_trend,BTC/USD,0.9583,3.0556,6.8165,0.5048,10.2673,1.1329,0.0381,0.3020,10.1769,176,0.3840,3,5,26.3902,151.01,34.20,0.6947,-7.6454,True,False
2,C_ema_pullback,T1_trend,BTC/USD,-0.0060,-2.3724,3.0158,-0.1353,11.3154,1.0688,0.0141,0.2684,7.0397,139,0.3802,2,5,25.4366,252.27,27.01,0.6664,-5.9380,False,False
3,B_rsi_reclaim,T1_trend,BTC/USD,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0,0.0000,0,5,0.0000,0.00,0.00,0.0000,0.0000,False,False
4,B_rsi_reclaim,T2_mean_revert,BTC/USD,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0,0.0000,0,5,0.0000,0.00,0.00,0.0000,0.0000,False,False
5,B_rsi_reclaim,T3_balanced,BTC/USD,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0,0.0000,0,5,0.0000,0.00,0.00,0.0000,0.0000,False,False
6,D_bb_squeeze,T1_trend,BTC/USD,-2.4458,-0.7125,-2.5027,-1.5419,14.4225,0.8614,-0.1042,0.1795,3.4260,103,0.3655,2,5,28.3663,135.46,20.02,0.3233,-11.0444,False,False
7,E_baseline,T1_trend,BTC/USD,-3.9201,-5.1868,-5.6588,-3.1676,8.7758,0.6580,-0.2228,0.0593,1.3434,94,0.2858,1,5,28.2089,645.86,18.27,0.3174,-7.8451,False,False
8,C_ema_pullback,T3_balanced,BTC/USD,-7.3659,-7.8898,-5.7604,-3.3760,16.9308,0.7201,-0.2297,0.1020,3.2485,160,0.3815,1,5,33.1678,1230.76,31.09,0.4972,-13.7481,False,False
9,D_bb_squeeze,T3_balanced,BTC/USD,-5.1388,-3.8975,-5.8070,-2.8477,13.5771,0.7313,-0.2374,0.1276,2.8228,109,0.3754,1,5,36.5097,284.14,21.18,0.2424,-12.2374,False,False
10,E_baseline,T3_balanced,BTC/USD,-4.5542,-4.9671,-5.9049,-2.8922,10.9980,0.7008,-0.2681,0.0935,1.9951,91,0.3693,1,5,36.1648,252.76,17.68,0.2891,-9.3843,False,False
11,A_donchian,T3_balanced,BTC/USD,-7.8453,-8.4342,-6.4536,-2.7341,20.6731,0.7990,-0.1569,0.1685,8.5290,253,0.3993,0,5,32.5451,216.54,49.17,0.7158,-12.5980,False,False
12,D_bb_squeeze,T2_mean_revert,BTC/USD,-6.4910,-7.0157,-7.3273,-3.8257,13.5786,0.6498,-0.2737,0.1513,3.5966,119,0.4452,0,5,42.4910,489.35,23.13,0.1962,-10.2362,False,False
13,E_baseline,T2_mean_revert,BTC/USD,-5.2044,-4.2708,-7.4494,-3.4650,11.2126,0.6438,-0.2788,0.1402,2.9744,98,0.4445,0,5,41.8989,194.10,19.04,0.1943,-10.0508,False,False
14,C_ema_pullback,T2_mean_revert,BTC/USD,-14.8794,-16.9573,-8.2382,-7.4182,26.7328,0.5401,-0.3794,-0.0015,0.1107,199,0.3862,1,5,37.7946,382.40,38.67,0.4040,-24.7124,False,False
15,A_donchian,T2_mean_revert,BTC/USD,-16.0615,-17.1590,-9.5928,-5.9968,27.5430,0.6572,-0.2423,0.1210,7.9914,331,0.4442,0,5,36.3274,428.24,64.32,0.5900,-24.1939,False,False
