rank,entry,exit_pack,asset,mean_net_return_pct,median_net_return_pct,mean_calmar,mean_sharpe,max_drawdown_pct,mean_profit_factor,mean_net_expectancy_r,mean_gross_expectancy_r,mean_gross_return_pct,total_trades,mean_win_rate,positive_windows,n_windows,avg_cost_per_trade,mean_cost_drag_pct,mean_turnover,mean_time_in_market,worst_window_return_pct,screen_gate,promotion_gate
1,B_rsi_reclaim,T1_trend,BTC/USD,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0,0.0000,0,5,0.0000,0.00,0.00,0.0000,0.0000,False,False
2,B_rsi_reclaim,T2_mean_revert,BTC/USD,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0,0.0000,0,5,0.0000,0.00,0.00,0.0000,0.0000,False,False
3,B_rsi_reclaim,T3_balanced,BTC/USD,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0,0.0000,0,5,0.0000,0.00,0.00,0.0000,0.0000,False,False
4,E_baseline,T2_mean_revert,BTC/USD,-8.6159,-9.4360,-0.4352,-3.6004,18.2400,0.7479,-0.3153,0.2347,2.6849,103,0.4332,1,5,54.9964,845.88,5.01,0.0483,-16.8362,False,False
5,E_baseline,T3_balanced,BTC/USD,-6.3146,-6.4562,-0.5401,-2.1854,18.1371,0.7448,-0.2415,0.2880,3.5635,93,0.4526,1,5,52.9487,264.25,4.52,0.0824,-15.8112,False,False
6,E_baseline,T1_trend,BTC/USD,-7.0869,-8.6560,-0.6776,-3.3948,16.9921,0.8581,-0.2395,0.2304,1.6848,93,0.2545,1,5,46.9925,310.84,4.52,0.1002,-16.7306,False,False
7,C_ema_pullback,T1_trend,BTC/USD,-14.1348,-21.2526,-1.4234,-3.2824,29.5761,0.6442,-0.2389,0.2160,10.8956,275,0.2641,1,5,45.4848,911.61,13.36,0.2915,-27.4880,False,False
8,C_ema_pullback,T3_balanced,BTC/USD,-23.9686,-29.0588,-2.2996,-6.4722,38.0101,0.4438,-0.3976,0.0807,4.9322,302,0.3717,0,5,47.8305,597.51,14.68,0.2506,-38.0101,False,False
9,D_bb_squeeze,T1_trend,BTC/USD,-11.0517,-7.3385,-2.3612,-3.7143,24.0173,0.4809,-0.3564,0.1340,3.2002,146,0.2371,0,5,49.0465,314.42,7.10,0.1350,-21.9774,False,False
10,A_donchian,T1_trend,BTC/USD,-28.6997,-34.5423,-2.6472,-6.2493,37.3650,0.3734,-0.4241,-0.0133,-1.3470,333,0.2327,0,5,41.0822,632.34,16.18,0.3179,-36.0554,False,False
