rank,entry,exit_pack,asset,mean_net_return_pct,median_net_return_pct,mean_calmar,mean_sharpe,max_drawdown_pct,mean_profit_factor,mean_net_expectancy_r,mean_gross_expectancy_r,mean_gross_return_pct,total_trades,mean_win_rate,positive_windows,n_windows,avg_cost_per_trade,mean_cost_drag_pct,mean_turnover,mean_time_in_market,worst_window_return_pct,screen_gate,promotion_gate
1,E_baseline,T1_trend,BTC/USD,7.2652,3.1957,8.1840,1.5002,9.1806,1.8080,0.2434,0.2434,7.2652,190,0.4455,5,5,0.0000,0.00,9.23,0.1869,0.6928,True,True
2,E_baseline,T2_mean_revert,BTC/USD,4.8454,4.9357,7.6954,1.3149,6.4329,1.6995,0.1691,0.1691,4.8454,206,0.4881,4,5,0.0000,0.00,10.01,0.0892,-4.9874,True,True
3,D_bb_squeeze,T1_trend,BTC/USD,11.8248,9.3909,7.2721,1.9030,7.5313,1.5618,0.2174,0.2174,11.8248,281,0.3836,5,5,0.0000,0.00,13.66,0.2707,4.8625,True,True
4,E_baseline,T3_balanced,BTC/USD,7.8373,7.9090,6.7956,1.6509,4.9645,1.5199,0.2389,0.2389,7.8373,194,0.4485,4,5,0.0000,0.00,9.43,0.1596,-1.9215,True,True
5,D_bb_squeeze,T3_balanced,BTC/USD,6.9319,4.0812,6.0432,1.1399,17.0247,1.2874,0.1265,0.1265,6.9319,303,0.3865,4,5,0.0000,0.00,14.73,0.2151,-6.8260,False,False
6,C_ema_pullback,T1_trend,BTC/USD,15.7924,16.9182,5.5138,1.6654,12.3039,1.3890,0.1632,0.1632,15.7924,525,0.4150,4,5,0.0000,0.00,25.51,0.5392,-3.7042,True,False
7,D_bb_squeeze,T2_mean_revert,BTC/USD,5.5938,4.8286,4.2581,1.2163,12.0600,1.2277,0.0821,0.0821,5.5938,360,0.4316,4,5,0.0000,0.00,17.50,0.1393,-1.7669,True,False
8,C_ema_pullback,T3_balanced,BTC/USD,9.4425,3.5846,2.7189,0.8028,19.4705,1.1620,0.0898,0.0898,9.4425,564,0.3798,3,5,0.0000,0.00,27.41,0.4521,-13.4038,False,False
9,C_ema_pullback,T2_mean_revert,BTC/USD,3.3398,-2.2868,1.3871,0.1931,19.0352,1.0458,0.0211,0.0211,3.3398,730,0.4103,2,5,0.0000,0.00,35.48,0.3382,-17.3886,False,False
10,A_donchian,T1_trend,BTC/USD,2.5423,-1.1766,0.8610,0.1332,18.6429,1.0487,0.0284,0.0284,2.5423,619,0.3474,2,5,0.0000,0.00,30.08,0.5954,-9.7298,False,False
11,A_donchian,T3_balanced,BTC/USD,0.6893,-1.9574,0.5206,-0.1381,29.8083,1.0030,0.0081,0.0081,0.6893,836,0.3473,2,5,0.0000,0.00,40.63,0.6317,-14.9979,False,False
12,A_donchian,T2_mean_revert,BTC/USD,-2.4689,-4.2364,-0.0936,-0.4362,25.9449,0.9721,-0.0101,-0.0101,-2.4689,1095,0.3861,1,5,0.0000,0.00,53.22,0.4462,-14.9840,False,False
13,B_rsi_reclaim,T1_trend,BTC/USD,-0.0698,0.0000,-0.5913,0.0000,0.3488,0.0000,-0.0698,-0.0698,-0.0698,1,0.0000,0,5,0.0000,0.00,0.05,0.0015,-0.3488,False,False
14,B_rsi_reclaim,T3_balanced,BTC/USD,-0.2000,0.0000,-0.5913,0.0000,1.0000,0.0000,-0.2000,-0.2000,-0.2000,1,0.0000,0,5,0.0000,0.00,0.05,0.0015,-1.0000,False,False
15,B_rsi_reclaim,T2_mean_revert,BTC/USD,-0.2000,0.0000,-0.5913,0.0000,1.0000,0.0000,-0.2000,-0.2000,-0.2000,1,0.0000,0,5,0.0000,0.00,0.05,0.0015,-1.0000,False,False
16,A_donchian,T1_trend,ETH/USD,22.9039,20.8912,8.3082,2.0544,13.3890,1.3849,0.1940,0.1940,22.9039,594,0.3739,5,5,0.0000,0.00,29.07,0.5916,9.8239,True,False
17,A_donchian,T2_mean_revert,ETH/USD,14.5251,17.7627,3.6626,1.3741,14.8605,1.1246,0.0692,0.0692,14.5251,1052,0.4167,5,5,0.0000,0.00,51.49,0.4706,4.8504,True,False
18,A_donchian,T3_balanced,ETH/USD,16.4518,13.6548,4.2299,1.4516,19.9155,1.1646,0.1047,0.1047,16.4518,816,0.3689,4,5,0.0000,0.00,39.94,0.6286,-5.5726,False,False
19,B_rsi_reclaim,T1_trend,ETH/USD,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0,0.0000,0,5,0.0000,0.00,0.00,0.0000,0.0000,False,False
20,B_rsi_reclaim,T2_mean_revert,ETH/USD,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0,0.0000,0,5,0.0000,0.00,0.00,0.0000,0.0000,False,False
21,B_rsi_reclaim,T3_balanced,ETH/USD,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0,0.0000,0,5,0.0000,0.00,0.00,0.0000,0.0000,False,False
22,C_ema_pullback,T1_trend,ETH/USD,12.6454,12.9442,6.4068,0.8973,20.8139,1.2479,0.1248,0.1248,12.6454,542,0.3688,3,5,0.0000,0.00,26.53,0.4935,-18.1880,False,False
23,C_ema_pullback,T2_mean_revert,ETH/USD,-3.0882,1.7281,0.0483,-0.5941,27.9851,0.9633,-0.0206,-0.0206,-3.0882,709,0.3870,3,5,0.0000,0.00,34.70,0.3046,-26.8052,False,False
24,C_ema_pullback,T3_balanced,ETH/USD,4.2814,11.1959,1.9789,0.1731,30.4598,1.0566,0.0373,0.0373,4.2814,572,0.3550,4,5,0.0000,0.00,28.00,0.3961,-27.1736,False,False
25,D_bb_squeeze,T1_trend,ETH/USD,8.2649,11.5714,4.5745,1.1140,14.0008,1.3215,0.1469,0.1469,8.2649,307,0.3584,4,5,0.0000,0.00,15.03,0.2939,-6.1531,True,False
26,D_bb_squeeze,T2_mean_revert,ETH/USD,2.4301,2.3803,1.7796,0.3748,18.6662,1.0980,0.0456,0.0456,2.4301,373,0.4018,3,5,0.0000,0.00,18.26,0.1498,-10.5785,False,False
27,D_bb_squeeze,T3_balanced,ETH/USD,2.3116,-1.8553,2.0619,0.3233,15.2051,1.1027,0.0517,0.0517,2.3116,313,0.3569,2,5,0.0000,0.00,15.32,0.2312,-7.8863,False,False
28,E_baseline,T1_trend,ETH/USD,5.9188,10.5139,3.7895,0.6696,10.9554,1.3282,0.1523,0.1523,5.9188,211,0.3511,3,5,0.0000,0.00,10.33,0.2054,-6.9300,True,False
29,E_baseline,T2_mean_revert,ETH/USD,0.1276,-1.3883,0.9489,-0.1383,14.2661,1.0101,0.0052,0.0052,0.1276,228,0.3918,2,5,0.0000,0.00,11.16,0.1070,-8.4829,False,False
30,E_baseline,T3_balanced,ETH/USD,-2.1167,-6.6002,0.6155,-0.6388,15.1465,0.9406,-0.0414,-0.0414,-2.1167,215,0.3280,2,5,0.0000,0.00,10.52,0.1578,-10.0048,False,False
